# quat_x, quat_y, quat_z, quat_w, pos_x, pos_y, pos_z, dt
3.064453e-01,6.372529e-01,-6.372529e-01,3.064453e-01,4.000000e-01,-4.000000e-01,3.287850e-01,2.000000e-02
3.047787e-01,6.380517e-01,-6.380517e-01,3.047787e-01,4.000000e-01,-4.000000e-01,3.297840e-01,2.000000e-02
3.031100e-01,6.388461e-01,-6.388461e-01,3.031100e-01,4.000000e-01,-4.000000e-01,3.307820e-01,2.000000e-02
3.014393e-01,6.396361e-01,-6.396361e-01,3.014393e-01,4.000000e-01,-4.000000e-01,3.317800e-01,2.000000e-02
2.997665e-01,6.404218e-01,-6.404218e-01,2.997665e-01,4.000000e-01,-4.000000e-01,3.327790e-01,2.000000e-02
2.980916e-01,6.412031e-01,-6.412031e-01,2.980916e-01,4.000000e-01,-4.000000e-01,3.337770e-01,2.000000e-02
2.964147e-01,6.419800e-01,-6.419800e-01,2.964147e-01,4.000000e-01,-4.000000e-01,3.347750e-01,2.000000e-02
2.947358e-01,6.427525e-01,-6.427525e-01,2.947358e-01,4.000000e-01,-4.000000e-01,3.357740e-01,2.000000e-02
2.930549e-01,6.435207e-01,-6.435207e-01,2.930549e-01,4.000000e-01,-4.000000e-01,3.367720e-01,2.000000e-02
2.913719e-01,6.442844e-01,-6.442844e-01,2.913719e-01,4.000000e-01,-4.000000e-01,3.377700e-01,2.000000e-02
2.896870e-01,6.450437e-01,-6.450437e-01,2.896870e-01,4.000000e-01,-4.000000e-01,3.387690e-01,2.000000e-02
2.880001e-01,6.457987e-01,-6.457987e-01,2.880001e-01,4.000000e-01,-4.000000e-01,3.397670e-01,2.000000e-02
2.863113e-01,6.465492e-01,-6.465492e-01,2.863113e-01,4.000000e-01,-4.000000e-01,3.407650e-01,2.000000e-02
2.846204e-01,6.472953e-01,-6.472953e-01,2.846204e-01,4.000000e-01,-4.000000e-01,3.417640e-01,2.000000e-02
2.829277e-01,6.480370e-01,-6.480370e-01,2.829277e-01,4.000000e-01,-4.000000e-01,3.427620e-01,2.000000e-02
2.812330e-01,6.487742e-01,-6.487742e-01,2.812330e-01,4.000000e-01,-4.000000e-01,3.437600e-01,2.000000e-02
2.795364e-01,6.495071e-01,-6.495071e-01,2.795364e-01,4.000000e-01,-4.000000e-01,3.447590e-01,2.000000e-02
2.778378e-01,6.502354e-01,-6.502354e-01,2.778378e-01,4.000000e-01,-4.000000e-01,3.457570e-01,2.000000e-02
2.761374e-01,6.509594e-01,-6.509594e-01,2.761374e-01,4.000000e-01,-4.000000e-01,3.467550e-01,2.000000e-02
2.744351e-01,6.516789e-01,-6.516789e-01,2.744351e-01,4.000000e-01,-4.000000e-01,3.477540e-01,2.000000e-02
2.727309e-01,6.523939e-01,-6.523939e-01,2.727309e-01,4.000000e-01,-4.000000e-01,3.487520e-01,2.000000e-02
2.710249e-01,6.531045e-01,-6.531045e-01,2.710249e-01,4.000000e-01,-4.000000e-01,3.497500e-01,2.000000e-02
2.693170e-01,6.538107e-01,-6.538107e-01,2.693170e-01,4.000000e-01,-4.000000e-01,3.507490e-01,2.000000e-02
2.676072e-01,6.545123e-01,-6.545123e-01,2.676072e-01,4.000000e-01,-4.000000e-01,3.517470e-01,2.000000e-02
2.658956e-01,6.552095e-01,-6.552095e-01,2.658956e-01,4.000000e-01,-4.000000e-01,3.527450e-01,2.000000e-02
2.641823e-01,6.559022e-01,-6.559022e-01,2.641823e-01,4.000000e-01,-4.000000e-01,3.537440e-01,2.000000e-02
2.624671e-01,6.565905e-01,-6.565905e-01,2.624671e-01,4.000000e-01,-4.000000e-01,3.547420e-01,2.000000e-02
2.607501e-01,6.572742e-01,-6.572742e-01,2.607501e-01,4.000000e-01,-4.000000e-01,3.557400e-01,2.000000e-02
2.590313e-01,6.579535e-01,-6.579535e-01,2.590313e-01,4.000000e-01,-4.000000e-01,3.567390e-01,2.000000e-02
2.573108e-01,6.586282e-01,-6.586282e-01,2.573108e-01,4.000000e-01,-4.000000e-01,3.577370e-01,2.000000e-02
2.555885e-01,6.592985e-01,-6.592985e-01,2.555885e-01,4.000000e-01,-4.000000e-01,3.587350e-01,2.000000e-02
2.538644e-01,6.599643e-01,-6.599643e-01,2.538644e-01,4.000000e-01,-4.000000e-01,3.597340e-01,2.000000e-02
2.521387e-01,6.606255e-01,-6.606255e-01,2.521387e-01,4.000000e-01,-4.000000e-01,3.607320e-01,2.000000e-02
2.504112e-01,6.612823e-01,-6.612823e-01,2.504112e-01,4.000000e-01,-4.000000e-01,3.617300e-01,2.000000e-02
2.486820e-01,6.619345e-01,-6.619345e-01,2.486820e-01,4.000000e-01,-4.000000e-01,3.627290e-01,2.000000e-02
2.469511e-01,6.625822e-01,-6.625822e-01,2.469511e-01,4.000000e-01,-4.000000e-01,3.637270e-01,2.000000e-02
2.452185e-01,6.632254e-01,-6.632254e-01,2.452185e-01,4.000000e-01,-4.000000e-01,3.647250e-01,2.000000e-02
2.434842e-01,6.638640e-01,-6.638640e-01,2.434842e-01,4.000000e-01,-4.000000e-01,3.657240e-01,2.000000e-02
2.417483e-01,6.644981e-01,-6.644981e-01,2.417483e-01,4.000000e-01,-4.000000e-01,3.667220e-01,2.000000e-02
2.400107e-01,6.651277e-01,-6.651277e-01,2.400107e-01,4.000000e-01,-4.000000e-01,3.677200e-01,2.000000e-02
2.382715e-01,6.657527e-01,-6.657527e-01,2.382715e-01,4.000000e-01,-4.000000e-01,3.687190e-01,2.000000e-02
2.365306e-01,6.663732e-01,-6.663732e-01,2.365306e-01,4.000000e-01,-4.000000e-01,3.697170e-01,2.000000e-02
2.347882e-01,6.669891e-01,-6.669891e-01,2.347882e-01,4.000000e-01,-4.000000e-01,3.707150e-01,2.000000e-02
2.330441e-01,6.676005e-01,-6.676005e-01,2.330441e-01,4.000000e-01,-4.000000e-01,3.717140e-01,2.000000e-02
2.312984e-01,6.682073e-01,-6.682073e-01,2.312984e-01,4.000000e-01,-4.000000e-01,3.727120e-01,2.000000e-02
2.295512e-01,6.688096e-01,-6.688096e-01,2.295512e-01,4.000000e-01,-4.000000e-01,3.737100e-01,2.000000e-02
2.278024e-01,6.694073e-01,-6.694073e-01,2.278024e-01,4.000000e-01,-4.000000e-01,3.747090e-01,2.000000e-02
2.260520e-01,6.700004e-01,-6.700004e-01,2.260520e-01,4.000000e-01,-4.000000e-01,3.757070e-01,2.000000e-02
2.243001e-01,6.705889e-01,-6.705889e-01,2.243001e-01,4.000000e-01,-4.000000e-01,3.767050e-01,2.000000e-02
2.225467e-01,6.711728e-01,-6.711728e-01,2.225467e-01,4.000000e-01,-4.000000e-01,3.777040e-01,2.000000e-02
2.207917e-01,6.717522e-01,-6.717522e-01,2.207917e-01,4.000000e-01,-4.000000e-01,3.787020e-01,2.000000e-02
2.190352e-01,6.723270e-01,-6.723270e-01,2.190352e-01,4.000000e-01,-4.000000e-01,3.797000e-01,2.000000e-02
2.172773e-01,6.728972e-01,-6.728972e-01,2.172773e-01,4.000000e-01,-4.000000e-01,3.806990e-01,2.000000e-02
2.155178e-01,6.734627e-01,-6.734627e-01,2.155178e-01,4.000000e-01,-4.000000e-01,3.816970e-01,2.000000e-02
2.137569e-01,6.740237e-01,-6.740237e-01,2.137569e-01,4.000000e-01,-4.000000e-01,3.826960e-01,2.000000e-02
2.119945e-01,6.745801e-01,-6.745801e-01,2.119945e-01,4.000000e-01,-4.000000e-01,3.836940e-01,2.000000e-02
2.102307e-01,6.751319e-01,-6.751319e-01,2.102307e-01,4.000000e-01,-4.000000e-01,3.846920e-01,2.000000e-02
2.084654e-01,6.756790e-01,-6.756790e-01,2.084654e-01,4.000000e-01,-4.000000e-01,3.856910e-01,2.000000e-02
2.066987e-01,6.762216e-01,-6.762216e-01,2.066987e-01,4.000000e-01,-4.000000e-01,3.866890e-01,2.000000e-02
2.049306e-01,6.767595e-01,-6.767595e-01,2.049306e-01,4.000000e-01,-4.000000e-01,3.876870e-01,2.000000e-02
2.031611e-01,6.772928e-01,-6.772928e-01,2.031611e-01,4.000000e-01,-4.000000e-01,3.886860e-01,2.000000e-02
2.013902e-01,6.778215e-01,-6.778215e-01,2.013902e-01,4.000000e-01,-4.000000e-01,3.896840e-01,2.000000e-02
1.996180e-01,6.783455e-01,-6.783455e-01,1.996180e-01,4.000000e-01,-4.000000e-01,3.906820e-01,2.000000e-02
1.978444e-01,6.788649e-01,-6.788649e-01,1.978444e-01,4.000000e-01,-4.000000e-01,3.916810e-01,2.000000e-02
1.960694e-01,6.793797e-01,-6.793797e-01,1.960694e-01,4.000000e-01,-4.000000e-01,3.926790e-01,2.000000e-02
1.942930e-01,6.798899e-01,-6.798899e-01,1.942930e-01,4.000000e-01,-4.000000e-01,3.936770e-01,2.000000e-02
1.925154e-01,6.803953e-01,-6.803953e-01,1.925154e-01,4.000000e-01,-4.000000e-01,3.946760e-01,2.000000e-02
1.907364e-01,6.808962e-01,-6.808962e-01,1.907364e-01,4.000000e-01,-4.000000e-01,3.956740e-01,2.000000e-02
1.889562e-01,6.813924e-01,-6.813924e-01,1.889562e-01,4.000000e-01,-4.000000e-01,3.966720e-01,2.000000e-02
1.871746e-01,6.818839e-01,-6.818839e-01,1.871746e-01,4.000000e-01,-4.000000e-01,3.976710e-01,2.000000e-02
1.853918e-01,6.823708e-01,-6.823708e-01,1.853918e-01,4.000000e-01,-4.000000e-01,3.986690e-01,2.000000e-02
1.836077e-01,6.828530e-01,-6.828530e-01,1.836077e-01,4.000000e-01,-4.000000e-01,3.996670e-01,2.000000e-02
1.818223e-01,6.833306e-01,-6.833306e-01,1.818223e-01,4.000000e-01,-4.000000e-01,4.006660e-01,2.000000e-02
1.800357e-01,6.838034e-01,-6.838034e-01,1.800357e-01,4.000000e-01,-4.000000e-01,4.016640e-01,2.000000e-02
1.782479e-01,6.842716e-01,-6.842716e-01,1.782479e-01,4.000000e-01,-4.000000e-01,4.026620e-01,2.000000e-02
1.764589e-01,6.847352e-01,-6.847352e-01,1.764589e-01,4.000000e-01,-4.000000e-01,4.036610e-01,2.000000e-02
1.746686e-01,6.851940e-01,-6.851940e-01,1.746686e-01,4.000000e-01,-4.000000e-01,4.046590e-01,2.000000e-02
1.728772e-01,6.856482e-01,-6.856482e-01,1.728772e-01,4.000000e-01,-4.000000e-01,4.056570e-01,2.000000e-02
1.710845e-01,6.860977e-01,-6.860977e-01,1.710845e-01,4.000000e-01,-4.000000e-01,4.066560e-01,2.000000e-02
1.692907e-01,6.865425e-01,-6.865425e-01,1.692907e-01,4.000000e-01,-4.000000e-01,4.076540e-01,2.000000e-02
